"DISTR.1" "BLACK" "NBHISP" "GRADE" "SLFHLTH" "SLFWGHT" "WORKHARD" "GOODQUAL" "PHYSFIT" "PROUD" "LIKESLF" "ACCEPTED" "FEELLOVD" "DIET" "DISTR.2"
"200" 0.26 0 0 7 2 1 1 1 1 1 1 1 1 0 0.36
"201" 1.26 0 0 10 3 3 3 2 2 2 2 2 2 0 1.74
"202" 0.37 0 0 9 1 3 3 2 3 3 2 3 2 0 0.35
"203" 0.53 0 0 11 2 2 2 1 2 2 2 2 2 0 0.43
"204" 0.68 0 0 10 3 4 2 2 2 1 2 1 1 1 0.7
"205" 0.95 0 0 10 3 4 2 1 2 1 1 2 2 1 0.55
"206" 0.21 1 0 10 2 2 2 1 2 1 1 1 1 1 0.09
"207" 0.58 0 0 8 2 3 3 1 1 1 2 1 1 0 0.7
"208" 0.63 0 0 10 2 3 2 1 2 1 3 2 1 0 0.18
"209" 0.42 0 0 7 2 2 2 2 2 1 2 4 2 1 0.67
"210" 0.63 0 1 11 2 3 2 2 3 2 3 2 2 0 0.37
"211" 0.42 1 0 10 3 3 2 2 2 1 1 2 1 0 2.01
"212" 0.11 0 0 9 1 3 2 2 2 2 3 4 2 0 0.12
"213" 0.11 0 0 9 2 3 4 1 2 2 1 3 2 0 0.18
"214" 0.21 0 0 10 2 4 3 2 2 1 2 2 2 0 0.24
"215" 0.05 0 0 11 1 2 2 1 1 1 1 1 1 0 0.32
"216" 0.21 1 0 7 2 4 3 2 4 2 3 2 1 0 0.38
"217" 1.68 0 0 10 4 3 4 3 3 2 3 2 2 0 0.99
"218" 0.32 1 0 9 3 3 1 1 2 1 1 1 2 0 0.34
"219" 0.95 1 0 11 4 4 2 2 4 2 3 2 1 0 1.24
"220" 0.11 1 0 7 3 4 3 2 3 2 1 1 1 0 0.21
"221" 0.47 1 0 8 2 3 2 1 2 1 2 1 1 0 0.72
"222" 0.42 0 0 7 4 4 2 2 4 3 3 3 2 1 0.92
"223" 0.42 0 0 10 1 3 2 2 3 2 2 2 2 0 0.67
"224" 0.32 1 0 11 3 2 3 1 2 2 1 1 2 0 0.26
"225" 0.63 1 0 7 3 4 2 4 5 4 5 4 3 0 1.29
"226" 0.37 1 0 10 1 3 2 1 2 2 2 2 1 0 0.58
"227" 0.89 0 0 9 3 4 3 2 2 2 2 2 2 0 0.1
"228" 0.42 0 0 9 3 4 4 1 2 1 1 4 2 0 0.66
"229" 0.47 0 0 7 2 3 2 2 2 2 3 3 2 0 2.11
"230" 0.05 0 0 7 2 3 3 1 2 1 1 4 1 0 0.14
"231" 0.32 0 0 10 3 4 2 2 3 2 4 4 2 1 0.78
"232" 0.89 0 0 7 1 3 2 1 1 1 3 2 2 0 0.49
"233" 1.05 0 0 10 1 1 2 3 2 2 2 2 2 0 0.95
"234" 0.47 0 0 8 3 3 2 2 4 2 2 3 2 0 0.26
"235" 0.42 1 0 11 2 3 2 1 1 1 1 1 1 0 0.57
"236" 0.21 0 0 7 2 4 3 2 2 2 2 2 1 1 0.2
"237" 0.89 0 0 10 4 5 2 2 3 2 2 4 2 1 0.82
"238" 0.42 1 0 8 1 5 4 1 2 1 1 1 1 1 0.95
"239" 0.16 0 0 8 2 4 4 2 3 1 2 2 2 0 0.22
"240" 0.26 0 0 9 3 3 2 2 3 1 2 1 1 0 0.4
"241" 0.32 0 0 7 2 4 3 2 2 2 2 2 2 0 0.97
"242" 0.53 1 0 7 1 3 1 1 2 2 2 1 1 0 0.41
"243" 0.42 0 0 7 1 2 1 1 1 1 1 1 1 0 0.36
"244" 0.74 0 0 10 3 1 4 4 3 2 4 1 2 0 1.37
"245" 0.95 1 0 10 3 4 2 2 2 2 1 4 2 0 2
"246" 0.89 0 0 10 1 4 2 1 2 1 2 2 1 0 1.88
"247" 0.74 0 0 8 1 1 2 1 1 2 1 1 1 0 0.6
"248" 0.37 0 0 9 3 4 2 3 3 2 1 3 3 1 1.05
"249" 0.63 0 0 11 1 2 2 1 1 1 1 1 1 0 1.21
"250" 0.63 0 0 11 4 3 3 4 2 4 4 3 4 0 1.05
"251" 0.58 0 0 10 3 2 4 4 3 5 4 3 3 0 1.03
"252" 0.63 1 0 7 2 3 2 2 2 2 1 1 2 0 0.8
"253" 0.05 1 0 7 1 3 2 1 1 1 1 1 1 0 0.11
"254" 1.11 0 0 10 3 4 2 3 3 2 3 3 2 1 1.03
"255" 1.11 0 0 9 1 4 1 1 1 1 2 2 1 1 1.19
"256" 0.47 0 0 8 3 4 2 2 2 2 3 3 3 0 1.25
"257" 1.74 0 0 10 2 2 4 3 3 3 2 3 2 0 1.13
"258" 1.05 1 0 9 2 4 1 1 3 1 1 1 1 1 0.75
"259" 0.95 0 0 11 2 5 3 2 3 2 3 4 3 1 0.8
"260" 0.68 0 1 10 1 3 2 1 1 1 1 1 1 0 0.29
"261" 0.47 0 1 11 1 4 3 2 2 2 2 2 2 1 0.34
"262" 0.74 0 0 8 1 4 3 2 4 3 2 3 4 0 1.14
"263" 1.11 0 1 11 2 3 5 2 3 3 3 4 3 0 1.13
"264" 0.74 0 0 7 1 4 2 2 1 2 2 2 2 1 0.79
"265" 0.47 1 0 8 3 4 3 2 2 2 3 2 1 0 0.68
"266" 0.05 0 0 7 3 3 2 1 2 1 1 2 1 0 0.03
"267" 0.89 1 0 8 3 3 2 2 2 2 4 2 2 0 0.92
"268" 0.42 0 0 9 2 5 2 3 3 2 4 3 2 1 0.36
"269" 0.63 0 1 9 2 4 2 1 2 1 1 2 1 1 0.96
"270" 0.42 0 0 8 3 3 2 2 1 2 2 2 2 0 0.85
"271" 0.47 1 0 7 1 3 3 1 2 1 1 2 2 0 0.18
"272" 0.16 0 0 9 2 3 2 1 2 2 2 2 1 1 0.21
"273" 0 0 0 9 1 2 3 1 1 1 1 1 1 0 0.16
"274" 0.26 0 0 8 2 1 1 2 2 1 1 2 1 0 0.25
"275" 0.58 0 1 8 2 4 4 2 3 2 2 2 1 0 0.3
"276" 0.79 0 0 8 3 3 1 3 2 2 2 2 3 0 0.92
"277" 0.84 0 0 8 2 5 3 2 2 3 4 2 2 0 1.47
"278" 0.68 0 0 9 2 4 3 1 3 1 1 2 1 0 1.13
"279" 0.53 0 1 7 2 2 2 1 2 1 2 2 1 0 0.66
"280" 0.32 1 0 7 2 3 1 1 2 1 2 1 1 0 0.25
"281" 0.21 0 1 10 2 3 2 5 5 4 4 5 4 0 1.03
"282" 0.42 1 0 11 1 3 2 2 2 2 1 2 2 0 0.43
"283" 0.68 0 0 10 1 3 3 2 2 2 2 3 2 0 0.07
"284" 0.42 0 0 10 1 1 2 2 3 2 2 2 2 0 0.47
"285" 0.74 1 0 8 2 3 2 2 1 1 1 1 1 0 0.76
"286" 1.53 0 1 8 2 2 3 2 4 2 4 4 2 0 1.75
"287" 0.79 0 0 9 1 2 2 1 1 1 1 2 1 0 0.63
"288" 1.05 1 0 10 3 2 2 2 3 1 1 2 1 0 1.6
"289" 0.26 0 0 11 1 3 2 1 3 1 1 2 1 1 0.37
"290" 0.32 0 0 10 1 2 1 1 1 1 1 2 1 0 0.25
"291" 0.63 0 0 10 4 4 5 3 4 3 4 4 3 0 1.69
"292" 0.84 0 1 9 3 3 2 2 3 1 2 2 2 0 0.71
"293" 0.53 0 0 7 2 4 2 2 3 2 1 3 2 0 0.26
"294" 1.26 0 1 9 3 3 3 3 3 4 3 2 2 0 0.7
"295" 0.26 0 1 11 1 3 1 1 2 1 2 2 2 0 0.31
"296" 1.21 1 0 7 2 3 1 2 2 2 2 2 1 0 0.74
"297" 0.89 0 1 11 2 3 2 5 2 5 2 4 3 0 0.86
"298" 0.84 0 0 10 3 4 2 3 4 3 3 4 2 0 0.41
"299" 1 1 0 10 4 4 1 2 4 3 4 4 3 0 1.74
"300" 0.84 0 0 9 3 4 4 2 4 1 2 2 2 0 1.75
"301" 0.68 0 0 7 2 4 2 2 4 2 2 4 3 1 0.71
"302" 0.47 0 0 7 2 3 2 1 2 1 2 1 1 0 0.3
"303" 0.21 0 0 11 2 3 3 1 3 1 4 2 1 0 0.16
"304" 0.47 0 0 10 1 3 3 2 3 2 3 2 2 0 0.37
"305" 0.53 0 0 8 3 3 3 2 3 2 2 2 2 0 0.5
"306" 0.47 1 0 11 2 2 1 1 1 1 1 1 1 0 0.93
"307" 1.26 0 1 11 2 3 2 2 2 2 2 3 2 1 1.49
"308" 0.21 0 0 8 2 3 2 2 2 1 1 1 1 0 0.45
"309" 0.05 1 0 11 1 3 1 1 2 1 1 2 1 0 0.23
"310" 1.26 0 0 10 2 4 2 2 5 3 4 3 4 1 1.61
"311" 1.21 0 0 10 3 3 2 2 3 2 3 2 2 0 1.08
"312" 0.63 0 0 11 3 4 2 2 3 2 2 3 1 0 0.38
"313" 0.84 0 0 11 2 4 2 1 2 1 1 2 1 1 1.14
"314" 0.11 0 0 8 1 4 2 1 2 2 2 3 3 0 0.34
"315" 0.21 0 0 9 3 3 3 2 4 2 2 3 2 0 0.3
"316" 0.74 0 0 7 3 3 2 2 2 2 2 2 2 0 0.3
"317" 0.53 0 0 8 1 2 2 1 2 1 1 1 1 0 0.57
"318" 0.32 0 0 7 2 2 2 1 1 1 1 1 1 0 0.22
"319" 1.68 0 0 10 4 3 4 3 3 3 4 3 3 0 1.81
"320" 0.63 0 0 10 2 4 1 1 1 1 3 1 2 1 0.76
"321" 0.89 0 0 11 1 2 2 2 2 2 2 2 2 0 0.51
"322" 1.21 0 0 10 3 3 2 2 3 2 1 4 2 0 0.76
"323" 0.63 0 1 10 2 3 2 2 2 2 3 2 2 1 0.45
"324" 0.89 0 0 11 3 3 1 1 2 2 2 2 2 0 0.88
"325" 0.79 0 0 10 2 4 2 2 1 2 1 2 2 0 0.63
"326" 0.42 0 0 9 2 3 4 2 4 1 2 2 1 0 0.36
"327" 0.32 1 0 8 3 4 4 2 1 1 1 3 1 0 0.54
"328" 0.47 0 0 9 2 3 1 1 2 1 2 1 1 0 0.33
"329" 0.32 0 0 8 2 3 2 2 3 2 2 2 1 0 0.48
"330" 0.47 0 0 7 3 3 2 2 3 2 2 1 2 0 0.64
"331" 0 1 0 10 1 3 2 1 1 1 1 1 1 0 0.01
"332" 0.47 0 1 11 3 4 1 3 4 2 3 4 2 0 0.04
"333" 1 1 0 8 2 4 2 2 3 2 3 2 2 0 0.79
"334" 0.32 0 0 10 3 2 2 2 2 1 1 2 2 0 0.47
"335" 0.26 0 0 9 1 2 2 1 1 1 1 1 2 0 0.2
"336" 1.11 0 0 10 3 3 3 2 3 2 3 2 2 0 0.47
"337" 0.95 0 1 10 3 4 1 1 3 2 1 3 3 0 0.45
"338" 1 1 0 10 2 4 1 1 3 2 3 4 2 0 1.34
"339" 1 0 1 11 3 4 2 2 2 2 2 1 4 1 1.5
"340" 0.53 0 0 9 3 5 2 2 3 2 3 3 2 0 0.57
"341" 0.47 0 1 10 1 3 2 2 3 2 4 2 2 0 0.75
"342" 0.58 0 0 7 2 4 2 2 2 2 3 3 2 0 0.67
"343" 0.68 0 1 9 1 3 2 2 2 2 2 2 1 0 0.17
"344" 1.74 0 1 10 3 4 2 2 4 4 4 4 4 0 1.07
"345" 0.11 1 0 9 1 3 3 2 2 1 1 1 1 0 0
"346" 0.37 0 0 8 2 1 2 2 2 1 1 2 1 0 0.26
"347" 0.74 0 1 10 3 3 2 2 2 2 2 3 2 0 1.09
"348" 0.95 0 1 11 3 4 2 2 4 2 3 2 2 0 0.61
"349" 0.63 1 0 10 3 3 3 2 3 1 2 2 1 0 0.75
"350" 0.58 0 0 11 2 2 4 2 3 2 2 3 2 0 0.42
"351" 0.95 0 0 10 3 4 3 2 3 2 4 3 2 0 1.18
"352" 0.05 0 1 9 1 3 3 1 1 1 1 1 1 1 0.11
"353" 0.84 1 0 9 3 3 2 1 3 1 2 1 2 0 0.66
"354" 0.84 0 0 9 2 4 1 2 2 2 2 3 2 0 1.16
"355" 0.21 1 0 10 2 4 2 2 2 2 2 1 1 0 0.18
"356" 1.21 0 1 11 4 4 2 3 4 2 4 4 2 1 0.57
"357" 0.21 0 0 7 2 2 3 4 2 3 4 3 3 0 0.3
"358" 0.53 0 0 7 2 3 2 2 3 1 2 3 1 0 0.29
"359" 0.32 0 0 11 3 3 3 2 4 3 3 3 1 0 0.3
"360" 0.53 1 0 9 3 4 1 2 5 2 4 3 2 0 1.13
"361" 0 1 0 9 1 3 2 1 1 1 1 1 1 0 0.06
"362" 0.58 0 0 11 2 3 2 2 2 1 1 2 2 0 0.29
"363" 0.58 0 0 8 3 4 3 4 4 3 3 3 3 1 1.86
